API,Basin,Cnty_Name,FieldName,AreaName,PoolName,First0fFirstProdthenInjDate,FirstProdDate,FirstInjDate,DOGGR_API,searched_DOGGR_API,frac_confirmed_DOGGR_API,frac_pack_DOGGR_API
04-011-20948,Sacramento,Colusa,Grimes Gas,Any Area,Forbes,9/1/13,9/1/13,,01120948,,,
04-011-20949,Sacramento,Colusa,Grimes Gas,Any Area,Forbes,8/1/13,8/1/13,,01120949,01120949,,
04-011-20950,Sacramento,Colusa,Arbuckle Gas,Any Area,Forbes,9/1/13,9/1/13,,01120950,,,
04-013-00135,Sacramento,Contra Costa,Los Medanos Gas,Main Area,Main Block-Domengine,9/1/03,,9/1/03,01300135,01300135,,
04-013-20330,Sacramento,Contra Costa,Dutch Slough Gas,Any Area,No Pool Breakdown,11/1/04,11/1/04,,01320330,01320330,01320330,
04-013-20362,Sacramento,Contra Costa,Los Medanos Gas,Main Area,Other,4/1/09,4/1/09,,01320362,01320362,,
04-013-20363,Sacramento,Contra Costa,Dutch Slough Gas,Any Area,No Pool Breakdown,1/1/05,1/1/05,,01320363,01320363,,
04-013-20367,Sacramento,Contra Costa,Dutch Slough Gas,Any Area,No Pool Breakdown,1/1/06,1/1/06,,01320367,01320367,,
04-013-20368,Sacramento,Contra Costa,Dutch Slough Gas,Any Area,No Pool Breakdown,5/1/06,5/1/06,,01320368,01320368,,
04-013-20370,Sacramento,Contra Costa,Dutch Slough Gas,Any Area,No Pool Breakdown,12/1/11,12/1/11,,01320370,01320370,,
04-013-20371,Sacramento,Contra Costa,Dutch Slough Gas,Any Area,No Pool Breakdown,7/1/07,7/1/07,,01320371,01320371,,
04-013-20373,Sacramento,Contra Costa,Los Medanos Gas,Main Area,Main Block-Domengine,1/1/08,1/1/08,11/1/07,01320373,01320373,,
04-013-20374,Sacramento,Contra Costa,Dutch Slough Gas,Any Area,No Pool Breakdown,1/1/08,1/1/08,,01320374,01320374,,
