"2011-Jan","2011-Feb","2011-Mar","2011-Apr","2011-May","2011-Jun","2011-Jul","2011-Aug","2011-Sep","2011-Oct","2011-Nov","2011-Dec","2012-Jan","2012-Feb","2012-Mar","2012-Apr","2012-May","2012-Jun","2012-Jul","2012-Aug","2012-Sep","2012-Oct","2012-Nov","2012-Dec","2013-Jan","2013-Feb","2013-Mar","2013-Apr","2013-May","2013-Jun","2013-Jul","2013-Aug","2013-Sep","2013-Oct","2013-Nov","2013-Dec","2014-Jan","2014-Feb","2014-Mar","2014-Apr","2014-May","2014-Jun","2014-Jul","2014-Aug","2014-Sep","2014-Oct","2014-Nov","2014-Dec","2015-Jan","2015-Feb","2015-Mar","2015-Apr","2015-May","2015-Jun","2015-Jul","2015-Aug","2015-Sep","2015-Oct","2015-Nov","2015-Dec","2016-Jan","2016-Feb","2016-Mar","2016-Apr","2016-May","2016-Jun","2016-Jul","2016-Aug","2016-Sep","2016-Oct","2016-Nov","2016-Dec"
105111,83367,88894,77268,76810,83885,93748,142127,163560,162188,158292,203434,282383,286733,269732,355374,397302,373980,353913,363140,373796,311127,358025,332910,146124,130180,227739,220218,192075,384036,496545,596552,773184,741705,638977,1042498,1124570,955995,1217519,1391715,1420010,1601563,1604035,1465820,1677334,1683737,1587001,1594343,1553180,1365526,1493959,1334791,1279575,972340,1169041,1259024,1200718,1142406,1026557,977862,958819,716543,903116,939132,953246,930368,879015,807755,871772,907760,851361,793176
337516,272951,367116,325413,346011,309707,338168,344522,354175,398615,369533,362992,341693,359057,333902,277483,371565,383642,472367,493871,485524,634427,809228,891730,853940,1017805,1168047,966256,1239366,1126860,1249198,1225279,886614,1305027,1321419,1178552,653977,577012,590295,566455,650533,673262,695718,690125,858213,872322,781068,815461,817547,704052,715950,710644,707384,664630,631677,604693,643360,687851,643944,528030,798715,694403,711322,626065,528539,558104,545179,713508,222691,173707,182610,206224
84345,68621,47982,83378,113203,96519,79557,78919,54450,76349,79828,95388,81786,61041,74033,78926,90623,102066,267785,324189,234458,228684,289179,297667,361887,321920,336774,293231,282653,253700,293638,326066,255352,244867,266168,261623,271600,225106,177920,223399,261792,234568,301048,283889,249678,364055,356571,287766,280257,248574,214295,216899,297511,255086,250978,246896,230034,165124,191622,193063,280578,247971,296436,233231,214794,189326,222707,261526,93346,163854,157488,169949
29172,23316,29172,24720,27172,24220,25172,25672,25720,28672,26720,28672,21492,27538,25992,30970,105197,114370,106588,56088,88462,167464,209976,190625,63938,53559,53744,61604,49825,55864,66609,87913,47985,47114,112438,64188,45305,30916,48012,50550,154178,82928,79809,68115,134329,140722,75806,55332,50474,44182,29679,28020,32079,31890,29579,32679,84225,93687,73330,62189,39647,44363,50635,45200,41171,29620,45421,37157,33390,26802,27540,43150
18373,10303,18590,23621,34914,20021,11283,23531,26326,34659,43289,34499,37535,22604,105177,56285,51276,42541,26040,25943,23924,45737,55962,30165,30810,19164,21808,52997,72045,48908,43490,38962,82966,62104,29218,69409,71616,42591,38397,39077,57362,56622,57671,87879,55946,106548,102263,75586,60558.23,49512.88,61176.57,58601,76980.34,100783.9,101160.8,70986.41,42938,37252,32987,42845,39064,38150,64587,71931,87025,129970,90557,104034,92501,123216,154535,169240
53937,57320,77315,68554,83398,77480,115343,117421,110969,128116,124778,115581,99462,80389,97575,123011,98263,49277,38124,31665,25602,31406,48953,49513,39775,28880,39974,32742,32109,27736,36909,25801,20906,31532,19952,20862,24243,20431,23182,25942,27153,30330,38908,58911,50202,45782,43059,63698,48508,48231,80076,69785,60429,34546,34559,24143,51297,51717,54749,66407,78738,110107,134655,102276,85832,67109,56638,55444,92610,119534,109058,92509
62842,63439,66805,67353,73101,75373,69446,68915,69443,49003,52824,53450,40301,41946,37466,30434,30288,26136,18374,18375,18375,22793,22804,22804,29503,16530,28562,26267,27806,23600,26288,26787,25062,26800,20289,18075,18460,18332,18420,29634,29865,29798,49651,49640,49672,53821,53782,53766,388,315,390,329,349,1654,388,304,305,247,51861,62965,66330,61216,56452,32189,34008,32184,32276,49413,90155,88979,68906,19521
552825,401303,576522,593895,587784,581218,594570,571670,582899.59,550345,601331,613356,599223,580600,488725,531952,576575,573099,623306,477877,595103,545044,539497,485605,286663,216680,231126,444918,550460,567622,455153,465631,520618,556681,539237,438117,694120,634395,602281,589259,639174,683964.2,709759.6,655021.8,658245.11,687026.22,639006.5,710080.34,654577,637771.18,598411.34,508969.75,550993,387525.59,446116.5,4378694,550729,513157,418979.5,376534.5,407917.5,483175.5,584733,528701.5,542706,506586,519301,397541.5,494042,540705.5,503952.75,366382
102300.23,66425.59,103055.34,84887.1,80656.42,85572.08,99728.05,90869,108440.78,97138.22,98436.42,106380.22,110482,94142,87294,84985,90803,96729,83425,153402,129939,163939,231297,305890,166251,265754,321941,210616,405694,470497,513642,410621,434920,501269,649642,1902622,619939.35,572225,681541,723419.62,671861,542148.59,650407,726513,684215.7,632813.8,635334.5,827273,847060,781662,677290,740042,660414.5,589022.41,521983,544003.37,483382,476078,491789.64,500829,521635,486639,549993.8,666304,603092,465880,450998.27,462836,479521,500495,469756.61,478163
91557,93260,147139,125496,116745,122202,139910,129896,151977,197009,188820,195352,209677,205355,207806,197664,201192,205990,201059,267900,328644,337280,347554,348344,248808,207755,247301,378364,381302,306704,302645,313572,275862,289037,337910,537193,717183,666668,707942,697268,591873,615480,868621,1113753,1163295,1022272,1147450,1169787,1025643,851084,877882,777942,700726,511302,513748,641382,602958,537253,495806,396314,417228,359904,357127,275622,330472,321100,307956,322208,295464,342864,343277,315505
